id,value,feed_id,created_at,lat,lon,ele
0FD33ZP2JQ5SE1Z0VS99BDBDYF,33,2497174,2023-09-09 14:43:33 ,,,
0FD33ZTJMKEWHVGCMTEQV6508V,33,2497174,2023-09-09 14:43:48 ,,,
0FD33ZZG6R16T4ENA7BJ6BS4GC,33,2497174,2023-09-09 14:44:04 ,,,
0FD3405H392AG8T92VPP894YEZ,33,2497174,2023-09-09 14:44:23 ,,,
0FD340C343WXFZWQRWCECD7SFN,33,2497174,2023-09-09 14:44:45 ,,,
0FD340CQRGZTJTYRTP518W87HC,33,2497174,2023-09-09 14:44:47 ,,,
0FD340HNJD2DXZTE24K20GV3Y6,33,2497174,2023-09-09 14:45:03 ,,,
0FD340N1Y234S2NYRKNACXC2RH,33,2497174,2023-09-09 14:45:14 ,,,
0FD340SZMXTATGVSM9MNXBJG8Y,33,2497174,2023-09-09 14:45:31 ,,,
0FD340YX9NWFQG1RX7DDXDTPPE,33,2497174,2023-09-09 14:45:47 ,,,
0FD3413VBRCAX2FT0WZHECGM3F,33,2497174,2023-09-09 14:46:03 ,,,
0FD3418RAXDS7466Y9QP5S61W5,33,2497174,2023-09-09 14:46:19 ,,,
0FD341CWH2QRGNW1031BP62YGZ,33,2497174,2023-09-09 14:46:32 ,,,
0FD341H29ZYFNQMAKKRHR5J8XJ,33,2497174,2023-09-09 14:46:46 ,,,
0FD341P00Y64R7QA30M4MRGWRY,33,2497174,2023-09-09 14:47:02 ,,,
0FD341TXPNM74Y7AT26E8ZEQAP,33,2497174,2023-09-09 14:47:18 ,,,
0FD341Y9Y1N4S96HAY5A3E9CXE,33,2497174,2023-09-09 14:47:30 ,,,
0FD3423A18ZXRMTJN0MQD763YR,33,2497174,2023-09-09 14:47:46 ,,,
0FD342856YFKYS8H2MPDNHPE3J,33,2497174,2023-09-09 14:48:02 ,,,
0FD342DPD8SYP1XBGJETARTWDP,33,2497174,2023-09-09 14:48:20 ,,,
0FD342J0DV138E5E7Q6T2QBJB4,33,2497174,2023-09-09 14:48:34 ,,,
0FD342NCQ89B8KAFNRK6E208TC,33,2497174,2023-09-09 14:48:45 ,,,
0FD342TA8YP545P1ZN31TDZJ45,33,2497174,2023-09-09 14:49:01 ,,,
0FD342ZTADWR06BMNNV281K22C,33,2497174,2023-09-09 14:49:19 ,,,
0FD34345Q4F8BQ8CSNWBTBM1EB,33,2497174,2023-09-09 14:49:34 ,,,
0FD3437HW7EXRZD77Y7G09F3M5,33,2497174,2023-09-09 14:49:45 ,,,
0FD343CFM6D4ZPXR6VP529HT51,33,2497174,2023-09-09 14:50:01 ,,,
0FD343HD6VMPTEPBW32X86ES1Q,33,2497174,2023-09-09 14:50:17 ,,,
0FD343PAR85PQQ461TJ8CMFRS6,33,2497174,2023-09-09 14:50:33 ,,,
0FD343V97VG4H6H9Y82MBSNJAM,33,2497174,2023-09-09 14:50:49 ,,,
0FD343YMBNVGWWPDST2WHVNKAB,33,2497174,2023-09-09 14:51:00 ,,,
0FD3443K3QE731AHHER1NZ7N85,33,2497174,2023-09-09 14:51:17 ,,,
0FD3448FVG61XEH5EXD0CAWBB0,33,2497174,2023-09-09 14:51:33 ,,,
0FD344DD1QPGAWP74869T2FNYH,33,2497174,2023-09-09 14:51:49 ,,,
0FD344GSGD24NJJZP45WSEAM2Z,33,2497174,2023-09-09 14:52:00 ,,,
0FD344NQQBSQ5PVM83BSX8TEP4,33,2497174,2023-09-09 14:52:16 ,,,
0FD344TMZD81MWRNH5BQRGG5JA,33,2497174,2023-09-09 14:52:32 ,,,
0FD344ZJEZYK9Q08G7QK44067W,33,2497174,2023-09-09 14:52:48 ,,,
0FD3454G6A4KE77V0NNVMFJQ19,33,2497174,2023-09-09 14:53:04 ,,,
0FD3457WND7WSDZXRH3VX850ED,33,2497174,2023-09-09 14:53:16 ,,,
0FD345DB1KH735MF3MY5VQZWB4,33,2497174,2023-09-09 14:53:33 ,,,
0FD345HR1GEW9BRQHT6AE55CCX,33,2497174,2023-09-09 14:53:48 ,,,
0FD345PNW5ECJHH9M6BJM3RWA9,33,2497174,2023-09-09 14:54:04 ,,,
0FD345YA781RP7BAEGWZ7ZNXNE,33,2497174,2023-09-09 14:54:29 ,,,
0FD345YZKBT3K0ABV03PVQ7Q83,33,2497174,2023-09-09 14:54:31 ,,,
0FD3464MZYGG7NKPFA1022SM3C,33,2497174,2023-09-09 14:54:50 ,,,
0FD3468TYSHA4ZPF5CX4Q61J66,33,2497174,2023-09-09 14:55:03 ,,,
0FD346DRBZYG26SR7BJQ2CF3EG,33,2497174,2023-09-09 14:55:20 ,,,
0FD346H5X8N8X3R48T6K72T6FP,33,2497174,2023-09-09 14:55:31 ,,,
0FD346P3GAKYF0C61WJR88WG0Y,33,2497174,2023-09-09 14:55:47 ,,,
0FD346V0KX7JY6QDP1T083SFZ6,33,2497174,2023-09-09 14:56:03 ,,,
0FD346ZY5FNJ6KQSFAV84VDG2Z,33,2497174,2023-09-09 14:56:19 ,,,
0FD3473YD8C3ZA43RRG6GTR0CY,33,2497174,2023-09-09 14:56:32 ,,,
0FD34788EB110WSXB8G1H7YHQW,33,2497174,2023-09-09 14:56:46 ,,,
0FD347D6BZ5SQ4V451K7METEDB,33,2497174,2023-09-09 14:57:03 ,,,
0FD347J2ZSCZTC3VVCS69693HW,33,2497174,2023-09-09 14:57:19 ,,,
0FD347QPQS3W65FEACQSR2WD8H,33,2497174,2023-09-09 14:57:37 ,,,
0FD347TAJ77BDJZMF9NVB9X8AE,33,2497174,2023-09-09 14:57:46 ,,,
0FD347Z8F4S7SREBHDEQ45X1QR,32,2497174,2023-09-09 14:58:02 ,,,
0FD3484NKF53HTYXCY81BP1F02,33,2497174,2023-09-09 14:58:20 ,,,
0FD3489TQF84Y4HARSXHHVDX5V,32,2497174,2023-09-09 14:58:36 ,,,
0FD348CF3V4HMKMQ3MGJSFY6M4,33,2497174,2023-09-09 14:58:45 ,,,
0FD348HCP13BV0WY7A7ADC4X1N,33,2497174,2023-09-09 14:59:01 ,,,
0FD348PB6GQ2F386WG3R9WH80C,33,2497174,2023-09-09 14:59:17 ,,,
0FD348V8BYAYH4EZ449BKHW8GP,33,2497174,2023-09-09 14:59:34 ,,,
0FD34905J5B9TBY2DYKR0D37A7,33,2497174,2023-09-09 14:59:50 ,,,
0FD3493HZE4QVBD87TWTE1WXN2,33,2497174,2023-09-09 15:00:01 ,,,
0FD3498F4PR9CRYH9JJKJY7WAQ,33,2497174,2023-09-09 15:00:17 ,,,
0FD349E0GPHHMTJ6Q87RXWXGP2,33,2497174,2023-09-09 15:00:35 ,,,
0FD349JA7Z6VS2WC00P2MX8A03,33,2497174,2023-09-09 15:00:49 ,,,
0FD349NPDVN3C19M8KHVJSZV19,33,2497174,2023-09-09 15:01:00 ,,,
0FD349TKRB45XJA972QD3CWPWF,33,2497174,2023-09-09 15:01:16 ,,,
0FD349ZH2WT2H5E0EVD5DVSCYK,33,2497174,2023-09-09 15:01:32 ,,,
0FD34A4ECQS0BPXKGT88WZ8GRD,33,2497174,2023-09-09 15:01:49 ,,,
0FD34A9C1TKA154407FXGAXDX9,33,2497174,2023-09-09 15:02:05 ,,,
0FD34ACS33PYNZWPGBBFAXG8NT,33,2497174,2023-09-09 15:02:16 ,,,
0FD34AHN8T0AC532QDWFSRH3QC,33,2497174,2023-09-09 15:02:32 ,,,
0FD34AQ4CWM1A330ZP0GESYQMD,33,2497174,2023-09-09 15:02:50 ,,,
0FD34AVGFVG4TM4NZRFYC7DS0P,33,2497174,2023-09-09 15:03:04 ,,,
0FD34B0DH8HMWB8HN1K9SJ3V0N,33,2497174,2023-09-09 15:03:20 ,,,
0FD34B3SHS7VHFVY7CZZDMDH17,33,2497174,2023-09-09 15:03:31 ,,,
0FD34B9EZ0M5CBWV1HD32BA6X5,33,2497174,2023-09-09 15:03:50 ,,,
0FD34BDM217WDRNYAE1EXB09YW,33,2497174,2023-09-09 15:04:03 ,,,
0FD34BK20R8TWXFKBKRZY4VE70,33,2497174,2023-09-09 15:04:21 ,,,
0FD34BNY1MYDZ0261BRTYZX0AF,33,2497174,2023-09-09 15:04:31 ,,,
0FD34BTVPQ4NYKQ98EA9C369ZZ,33,2497174,2023-09-09 15:04:47 ,,,
0FD34BZS810KSFN4K24ATZ4TSV,33,2497174,2023-09-09 15:05:03 ,,,
0FD34C4Q16945EJQVBQRQS5A62,33,2497174,2023-09-09 15:05:19 ,,,
0FD34C9M66HDA20N4AGV5SVX0A,33,2497174,2023-09-09 15:05:35 ,,,
0FD34CD0JFMVHGAR1K5WR0V37M,33,2497174,2023-09-09 15:05:46 ,,,
0FD34CHY6WCCTD85SRJBZB2SWS,33,2497174,2023-09-09 15:06:02 ,,,
0FD34CPVFQGCJA0H1FQEX7XXHS,33,2497174,2023-09-09 15:06:19 ,,,
0FD34CVSHW4S250P335P5MZQZS,33,2497174,2023-09-09 15:06:35 ,,,
0FD34CZSJNB7YWJDW4TQ7ZCWXC,33,2497174,2023-09-09 15:06:48 ,,,
0FD34D43ATE14PA3D68BT484R4,33,2497174,2023-09-09 15:07:02 ,,,
